Word,Length,Freq_HAL,Log_Freq_HAL,I_Mean_RT,I_Zscore,I_SD,Obs,I_Mean_Accuracy,Difficulty
scratch,7,8067,9.0,657.71,-0.48,221.31,35.0,1.0,0.5369477
scratched,9,1333,7.2,657.31,-0.35,174.41,32.0,0.94,0.6190706
scratches,9,2273,7.73,660.25,-0.51,287.25,32.0,0.97,0.6532401
scratchiness,12,8,2.08,892.44,0.6,388.19,27.0,0.84,0.8294164
scratching,10,1778,7.48,683.78,-0.27,208.56,32.0,0.91,0.7088801
scratchpad,10,23,3.14,927.84,0.33,310.96,25.0,0.76,0.81259656
scratchy,8,761,6.63,709.29,-0.35,337.16,31.0,1.0,0.60088027
scrawl,6,141,4.95,779.79,-0.05,362.06,28.0,0.88,0.41498756
scrawled,8,291,5.67,862.84,-0.02,255.72,31.0,0.94,0.6126458
scrawny,7,202,5.31,729.35,-0.07,308.33,31.0,0.94,0.5135993
scream,6,7435,8.91,607.48,-0.55,134.63,33.0,0.94,0.37755072
screamed,8,3194,8.07,712.88,-0.33,295.16,34.0,1.0,0.4923814
screaming,9,7615,8.94,741.44,-0.18,288.23,34.0,1.0,0.5273558
screams,7,2587,7.86,652.19,-0.43,194.14,32.0,0.97,0.45837486
screech,7,383,5.95,788.63,0.23,337.08,30.0,0.88,0.55428755
screeched,9,67,4.2,849.89,0.23,318.5,28.0,0.9,0.60473114
screeches,9,48,3.87,852.37,0.09,377.85,30.0,0.88,0.6437735
screeching,10,476,6.17,825.0,0.0,310.04,32.0,0.94,0.71333414
screechy,8,34,3.53,831.68,0.3,326.91,22.0,0.69,0.6102242
screen,6,74698,11.22,655.21,-0.44,230.96,33.0,1.0,0.3507898
screened,8,1478,7.3,718.61,-0.34,349.55,31.0,0.94,0.5307972
screening,9,2855,7.96,722.45,-0.2,249.38,33.0,1.0,0.5340058
screenings,10,261,5.56,707.5,-0.23,218.44,32.0,0.94,0.6251359
screenplay,10,1715,7.45,712.44,-0.15,259.52,32.0,0.94,0.66850287
screens,7,6738,8.82,548.3,-0.75,93.9,33.0,1.0,0.44401002
screw,5,9543,9.16,610.53,-0.66,183.88,34.0,0.97,0.26527843
screwball,9,123,4.81,702.0,-0.36,209.62,33.0,0.97,0.59837437
screwdriver,11,1173,7.07,831.57,0.22,254.64,28.0,0.88,0.64932966
screwed,7,8142,9.0,764.8,-0.25,233.2,30.0,0.94,0.43290856
screws,6,3523,8.17,667.18,-0.43,206.03,33.0,0.97,0.35314748
screwy,6,537,6.29,717.48,-0.12,235.22,27.0,0.79,0.4206169
scribble,8,447,6.1,695.09,-0.24,235.01,34.0,1.0,0.53935397
scribbled,9,657,6.49,690.81,-0.21,257.69,31.0,0.97,0.5889033
scribe,6,795,6.68,637.75,-0.56,219.45,28.0,0.82,0.40071505
scribing,8,34,3.53,931.32,0.47,294.6,25.0,0.78,0.50144416
scrimmage,9,108,4.68,864.17,0.23,270.63,29.0,0.81,0.6178412
scrimmaged,10,1,0.0,1004.41,0.63,387.16,27.0,0.84,0.6392692
scrimp,6,57,4.04,717.92,0.42,234.67,12.0,0.38,0.3795801
script,6,33261,10.41,610.18,-0.63,165.48,34.0,1.0,0.34349105
scriptural,10,606,6.41,875.55,0.36,276.1,31.0,0.89,0.53766596
scripture,9,3941,8.28,705.48,-0.26,178.41,31.0,1.0,0.5242794
scriptures,10,4435,8.4,699.61,-0.18,201.92,33.0,1.0,0.5427022
scriptwriter,12,91,4.51,979.93,0.39,447.02,30.0,0.97,0.6831138
scrivener,9,34,3.53,1046.0,1.05,49.5,2.0,0.06,0.6382052
scroll,6,5743,8.66,603.1,-0.66,153.74,30.0,0.94,0.41577166
scrollwork,10,16,2.77,936.39,0.43,366.13,28.0,0.93,0.7933384
scrooge,7,317,5.76,717.62,-0.1,143.48,26.0,0.79,0.5444618
scrotum,7,594,6.39,899.21,0.18,379.4,28.0,0.93,0.55787563
scrounge,8,255,5.54,887.84,0.32,343.19,19.0,0.61,0.5808419
scrounger,9,30,3.4,1005.59,0.71,386.26,17.0,0.55,0.6606811
scrounging,10,106,4.66,887.95,0.56,233.08,20.0,0.69,0.6136038
